No,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等
1,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,大字伊川,小森江,30分?60分,13000000,,,310,,ほぼ台形,18,165,昭和64年,木造,住宅,住宅,北西,市道,4,市街化調整区域,70,200,2021年第３四半期,,
2,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,泉ケ丘,門司,25,14000000,,,280,,長方形,17.5,115,昭和55年,木造,住宅,住宅,南東,市道,6,第１種住居地域,60,200,2021年第３四半期,,
3,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,稲積,門司,30分?60分,30000000,,,160,,ほぼ長方形,12.5,115,令和4年,木造,住宅,住宅,東,市道,3,第１種住居地域,60,200,2022年第3四半期,,
4,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,稲積,門司,28,33000000,,,150,,長方形,9,105,令和4年,木造,住宅,住宅,西,市道,3.8,第１種中高層住居専用地域,60,200,2022年第２四半期,,
5,中古マンション等,,40101,福岡県,北九州市門司区,稲積,門司,30分?60分,16000000,,３ＬＤＫ,70,,,,,平成14年,ＳＲＣ,,住宅,,,,第１種住居地域,60,200,2022年第２四半期,,
6,宅地(土地),住宅地,40101,福岡県,北九州市門司区,稲積,門司,26,34000000,230000,,480,70000,台形,24,,,,,その他,南東,市道,6,第１種中高層住居専用地域,60,200,2021年第１四半期,,
7,宅地(土地),住宅地,40101,福岡県,北九州市門司区,稲積,門司港,30分?60分,9000000,170000,,175,52000,不整形,13,,,,,住宅,南西,市道,10,第１種中高層住居専用地域,60,200,2022年第２四半期,,
8,中古マンション等,,40101,福岡県,北九州市門司区,梅ノ木町,門司,10,15000000,,３ＬＤＫ,65,,,,,平成7年,ＲＣ,住宅,住宅,,,,準工業地域,60,200,2022年第3四半期,改装済,
9,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,梅ノ木町,門司,12,13000000,,,185,,ほぼ整形,15,80,昭和56年,木造,住宅,住宅,北,市道,11.9,近隣商業地域,80,300,2021年第４四半期,,
10,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,梅ノ木町,門司,9,180000000,,,2000㎡以上,,不整形,,2000㎡以上,平成11年,鉄骨造,店舗,店舗,東,国道,15,近隣商業地域,80,300,2021年第４四半期,,
11,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,梅ノ木町,門司,7,18000000,,,180,,長方形,15,105,平成7年,木造,住宅,住宅,南東,市道,6,準工業地域,60,200,2021年第４四半期,,
12,宅地(土地),住宅地,40101,福岡県,北九州市門司区,老松町,門司港,14,16000000,310000,,170,93000,長方形,9,,,,,その他,南東,市道,6,第１種住居地域,60,200,2021年第１四半期,,
13,中古マンション等,,40101,福岡県,北九州市門司区,大久保,門司港,30分?60分,6700000,,４ＬＤＫ,75,,,,,平成4年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,200,2022年第２四半期,未改装,
14,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,大字大積,門司港,1H?1H30,20000000,,,660,,長方形,18,150,平成5年,木造,住宅,住宅,北,市道,4,市街化調整区域,,,2021年第３四半期,,
15,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,奥田,小森江,30分?60分,3800000,,,150,,ほぼ整形,11,70,昭和44年,木造,住宅,住宅,南東,私道,4,第１種住居地域,60,200,2021年第４四半期,,
16,宅地(土地),住宅地,40101,福岡県,北九州市門司区,奥田,門司,30分?60分,1200000,28000,,140,8500,不整形,,,,,,その他,南東,市道,4,第１種中高層住居専用地域,60,200,2021年第３四半期,,
17,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,奥田,門司,30分?60分,200000,,,540,,不整形,40,65,,木造,住宅,,北西,市道,2.5,第１種住居地域,60,200,2021年第１四半期,,
18,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,風師,小森江,23,1500000,,,230,,台形,,100,昭和48年,木造,住宅,住宅,接面道路無,,,第１種住居地域,60,200,2022年第２四半期,,
19,宅地(土地),住宅地,40101,福岡県,北九州市門司区,風師,門司港,25,4700000,180000,,85,55000,長方形,7,,,,,その他,北西,国道,13,第１種住居地域,60,200,2021年第４四半期,,
20,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,風師,門司港,16,2000000,,,75,,長方形,,80,昭和45年,木造,住宅,住宅,接面道路無,,,第１種住居地域,60,200,2021年第４四半期,,
21,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,風師,門司港,25,3000000,,,140,,長方形,,95,昭和34年,木造,住宅,その他,接面道路無,,,第１種低層住居専用地域,60,200,2021年第２四半期,,
22,宅地(土地と建物),商業地,40101,福岡県,北九州市門司区,春日町,門司港,30分?60分,1900000,,,115,,ほぼ正方形,10,60,昭和40年,軽量鉄骨造,住宅,住宅,南西,県道,25.7,第２種住居地域,60,200,2021年第１四半期,,
23,宅地(土地),住宅地,40101,福岡県,北九州市門司区,片上町,小森江,18,3500000,23000,,500,7100,ほぼ台形,,,,,,その他,東,市道,5,第１種住居地域,60,200,2021年第１四半期,,
24,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,片上町,小森江,15,50000,,,240,,ほぼ台形,13,40,昭和50年,木造,住宅,住宅,西,市道,5.8,第１種住居地域,60,200,2021年第１四半期,,
25,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,12000000,,,320,,ほぼ整形,15,220,昭和39年,木造,住宅,住宅,北西,市道,5.6,第１種住居地域,60,200,2021年第３四半期,,
26,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,1900000,,,230,,不整形,6,70,昭和50年,木造,住宅,住宅,北東,市道,5,第１種低層住居専用地域,50,80,2021年第２四半期,,
27,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,2400000,,,260,,長方形,13,110,昭和44年,木造、軽量鉄骨造,住宅,住宅,南西,市道,4,第１種低層住居専用地域,50,80,2021年第１四半期,,調停・競売等
28,宅地(土地と建物),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,3900000,,,300,,ほぼ長方形,13,70,昭和46年,軽量鉄骨造,住宅,住宅,北東,私道,4,第１種低層住居専用地域,50,80,2021年第１四半期,,調停・競売等、私道を含む取引
29,宅地(土地),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,2000000,5900,,1100,1800,不整形,22,,,,,その他,北西,市道,5.5,第１種住居地域,60,200,2021年第１四半期,,
30,宅地(土地),住宅地,40101,福岡県,北九州市門司区,上藤松,門司,30分?60分,800000,5700,,460,1700,不整形,21,,,,,,北東,私道,4,市街化調整区域,70,200,2021年第１四半期,,
