,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
0,30,310,165,昭和64年,大字伊川,13000000,40101,昭和,64,34.0
1,25,280,115,昭和55年,泉ケ丘,14000000,40101,昭和,55,43.0
2,30,160,115,令和4年,稲積,30000000,40101,令和,4,0.0
3,28,150,105,令和4年,稲積,33000000,40101,令和,4,0.0
10,7,180,105,平成7年,梅ノ木町,18000000,40101,平成,7,28.0
13,60,660,150,平成5年,大字大積,20000000,40101,平成,5,30.0
14,30,150,70,昭和44年,奥田,3800000,40101,昭和,44,54.0
17,23,230,100,昭和48年,風師,1500000,40101,昭和,48,50.0
19,16,75,80,昭和45年,風師,2000000,40101,昭和,45,53.0
20,25,140,95,昭和34年,風師,3000000,40101,昭和,34,64.0
23,15,240,40,昭和50年,片上町,50000,40101,昭和,50,48.0
24,30,320,220,昭和39年,上藤松,12000000,40101,昭和,39,59.0
25,30,230,70,昭和50年,上藤松,1900000,40101,昭和,50,48.0
26,30,260,110,昭和44年,上藤松,2400000,40101,昭和,44,54.0
27,30,300,70,昭和46年,上藤松,3900000,40101,昭和,46,52.0
34,29,180,105,令和2年,上馬寄,29000000,40101,令和,2,2.0
35,90,220,105,平成27年,大字吉志,22000000,40101,平成,27,8.0
37,90,210,100,平成14年,吉志,19000000,40101,平成,14,21.0
38,90,145,100,昭和54年,吉志,4800000,40101,昭和,54,44.0
40,90,220,130,平成7年,吉志,13000000,40101,平成,7,28.0
41,90,165,100,令和4年,吉志,23000000,40101,令和,4,0.0
42,90,145,110,令和2年,吉志,31000000,40101,令和,2,2.0
43,90,125,95,昭和49年,吉志,1000000,40101,昭和,49,49.0
45,90,1300,310,平成18年,吉志,92000000,40101,平成,18,17.0
47,90,195,95,昭和52年,吉志,3000000,40101,昭和,52,46.0
50,90,185,90,令和3年,吉志,18000000,40101,令和,3,1.0
51,90,165,125,昭和56年,吉志,11000000,40101,昭和,56,42.0
54,90,220,140,平成20年,吉志新町,19000000,40101,平成,20,15.0
56,90,220,115,令和3年,吉志新町,40000000,40101,令和,3,1.0
57,90,210,125,平成16年,吉志新町,23000000,40101,平成,16,19.0
61,90,220,110,令和2年,吉志新町,40000000,40101,令和,2,2.0
64,90,210,120,平成20年,吉志新町,17000000,40101,平成,20,15.0
65,90,220,110,令和3年,吉志新町,32000000,40101,令和,3,1.0
67,90,210,110,令和4年,吉志新町,41000000,40101,令和,4,0.0
72,14,220,110,昭和57年,北川町,1500000,40101,昭和,57,41.0
79,18,130,60,昭和50年,旧門司,300000,40101,昭和,50,48.0
80,21,155,140,平成8年,旧門司,8000000,40101,平成,8,27.0
84,8,185,155,平成7年,清滝,8500000,40101,平成,7,28.0
88,30,270,100,平成23年,清見,20000000,40101,平成,23,12.0
89,21,140,100,令和3年,清見,27000000,40101,令和,3,1.0
91,30,310,80,昭和51年,清見,1700000,40101,昭和,51,47.0
93,19,140,100,令和3年,清見,29000000,40101,令和,3,1.0
95,21,140,100,令和3年,清見,29000000,40101,令和,3,1.0
99,30,210,115,昭和55年,黒川西,1000000,40101,昭和,55,43.0
100,30,170,75,昭和60年,黒川西,4800000,40101,昭和,60,38.0
101,30,190,115,平成26年,黒川西,22000000,40101,平成,26,9.0
110,19,130,105,令和3年,小松町,32000000,40101,令和,3,1.0
120,24,560,105,昭和43年,寺内,3500000,40101,昭和,43,55.0
125,23,380,150,昭和64年,寺内,15000000,40101,昭和,64,34.0
126,21,175,100,昭和60年,寺内,15000000,40101,昭和,60,38.0
127,30,200,135,昭和52年,寺内,6000000,40101,昭和,52,46.0
129,13,75,105,昭和53年,下二十町,4500000,40101,昭和,53,45.0
138,16,100,85,昭和33年,庄司町,2300000,40101,昭和,33,65.0
139,60,155,100,昭和62年,白野江,5200000,40101,昭和,62,36.0
141,90,380,105,昭和60年,白野江,8900000,40101,昭和,60,38.0
142,60,290,175,昭和61年,白野江,440000,40101,昭和,61,37.0
145,30,140,105,令和3年,新開,23000000,40101,令和,3,1.0
146,30,310,85,昭和40年,新開,800000,40101,昭和,40,58.0
150,23,200,85,令和3年,新原町,42000000,40101,令和,3,1.0
162,30,160,150,昭和45年,大里桜ケ丘,1500000,40101,昭和,45,53.0
166,13,165,115,令和4年,大里戸ノ上,34000000,40101,令和,4,0.0
167,13,140,110,令和4年,大里戸ノ上,32000000,40101,令和,4,0.0
168,18,135,100,昭和47年,大里戸ノ上,5500000,40101,昭和,47,51.0
169,21,135,80,昭和48年,大里戸ノ上,250000,40101,昭和,48,50.0
172,16,240,150,平成6年,大里戸ノ上,32000000,40101,平成,6,29.0
173,17,230,105,令和2年,大里戸ノ上,30000000,40101,令和,2,2.0
181,15,210,70,昭和38年,大里東,500000,40101,昭和,38,60.0
182,14,55,50,昭和44年,大里東,360000,40101,昭和,44,54.0
183,11,80,85,昭和63年,大里東,2400000,40101,昭和,63,35.0
184,8,125,65,昭和52年,大里東,1500000,40101,昭和,52,46.0
185,6,165,110,令和4年,大里東,32000000,40101,令和,4,0.0
186,15,140,95,平成3年,大里東,2500000,40101,平成,3,32.0
188,8,145,110,令和3年,大里本町,40000000,40101,令和,3,1.0
196,11,190,105,令和3年,大里本町,25000000,40101,令和,3,1.0
201,24,290,115,昭和50年,大里桃山町,2000000,40101,昭和,50,48.0
203,21,290,115,昭和42年,大里桃山町,6200000,40101,昭和,42,56.0
209,26,250,120,昭和50年,谷町,400000,40101,昭和,50,48.0
210,23,300,60,昭和42年,谷町,1200000,40101,昭和,42,56.0
